Local time,Open,High,Low,Close,Volume
25.05.2018 15:00:00.000 GMT+0200,1307.418,1307.758,1302.272,1303.558,12278769.7316
25.05.2018 19:00:00.000 GMT+0200,1303.558,1304.322,1299.809,1301.349,4632880.032
27.05.2018 23:00:00.000 GMT+0200,1299.588,1299.888,1296.248,1298.908,2243985.9509
28.05.2018 03:00:00.000 GMT+0200,1298.901,1299.739,1297.258,1298.859,3939649.9990999997
28.05.2018 07:00:00.000 GMT+0200,1298.798,1298.972,1295.448,1297.378,4913270.0563
28.05.2018 11:00:00.000 GMT+0200,1297.378,1300.282,1296.748,1297.921,5845199.9426
28.05.2018 15:00:00.000 GMT+0200,1297.921,1299.369,1296.878,1298.018,4932009.995
28.05.2018 19:00:00.000 GMT+0200,1298.018,1298.018,1298.018,1298.018,0
28.05.2018 23:00:00.000 GMT+0200,1297.551,1301.262,1296.989,1300.028,2464090.0195
29.05.2018 03:00:00.000 GMT+0200,1300.028,1300.129,1297.309,1297.862,4238480.0315
29.05.2018 07:00:00.000 GMT+0200,1297.861,1306.608,1295.989,1303.978,8445875.048700001
29.05.2018 11:00:00.000 GMT+0200,1303.988,1305.252,1296.648,1297.828,10049790.024799999
29.05.2018 15:00:00.000 GMT+0200,1297.778,1304.611,1292.738,1302.008,11209169.864599999
29.05.2018 19:00:00.000 GMT+0200,1302.012,1304.171,1298.431,1298.871,5741059.899300001
29.05.2018 23:00:00.000 GMT+0200,1298.218,1302.858,1298.168,1301.918,2882985.0554
30.05.2018 03:00:00.000 GMT+0200,1301.918,1302.708,1297.558,1298.659,3926280.0218
30.05.2018 07:00:00.000 GMT+0200,1298.629,1300.461,1295.858,1298.888,7513480.067299999
30.05.2018 11:00:00.000 GMT+0200,1298.879,1302.318,1296.478,1300.539,7840260.1479
30.05.2018 15:00:00.000 GMT+0200,1300.539,1304.338,1299.948,1301.949,10263710.0219
30.05.2018 19:00:00.000 GMT+0200,1301.951,1302.532,1300.797,1300.797,3076220.0356
30.05.2018 23:00:00.000 GMT+0200,1301.178,1304.801,1301.178,1303.159,2175714.9845
31.05.2018 03:00:00.000 GMT+0200,1303.179,1303.498,1301.129,1303.131,2751569.9863
31.05.2018 07:00:00.000 GMT+0200,1303.161,1306.418,1303.011,1304.598,5013180.0771
31.05.2018 11:00:00.000 GMT+0200,1304.598,1305.498,1298.008,1299.638,5936760.0084
31.05.2018 15:00:00.000 GMT+0200,1299.638,1306.183,1298.639,1301.778,12594369.8882
31.05.2018 19:00:00.000 GMT+0200,1301.778,1301.969,1297.391,1298.172,5893449.842999999
31.05.2018 23:00:00.000 GMT+0200,1298.719,1300.098,1297.908,1299.529,2336685.0615
01.06.2018 03:00:00.000 GMT+0200,1299.428,1300.521,1297.689,1298.592,3471049.9645999996
01.06.2018 07:00:00.000 GMT+0200,1298.591,1300.049,1297.798,1299.261,3186510.0265
01.06.2018 11:00:00.000 GMT+0200,1299.272,1299.928,1289.252,1292.368,6681755.9004999995
01.06.2018 15:00:00.000 GMT+0200,1292.368,1299.032,1292.268,1295.508,8075929.9397
01.06.2018 19:00:00.000 GMT+0200,1295.508,1295.828,1292.289,1292.811,2287600.0107
03.06.2018 23:00:00.000 GMT+0200,1292.622,1294.491,1291.958,1293.012,2735305.0113000004
04.06.2018 03:00:00.000 GMT+0200,1293.012,1294.021,1290.768,1291.489,3838360.0116
04.06.2018 07:00:00.000 GMT+0200,1291.489,1294.458,1290.300,1293.632,5004379.8685
04.06.2018 11:00:00.000 GMT+0200,1293.628,1297.508,1293.428,1296.739,4619768.0236
04.06.2018 15:00:00.000 GMT+0200,1296.739,1298.021,1292.909,1293.469,7430329.919
04.06.2018 19:00:00.000 GMT+0200,1293.449,1293.759,1290.888,1290.888,2729200.0353
